score_key,eta2,f1,accuracy,precision,recall,specificity,direction,threshold,tp,fp,tn,fn,c3_mean,c0_mean
high_low_half_penalty_0_6_0_4,0.03533773422456138,0.6595744680851063,0.5362318840579711,0.5,0.96875,0.16216216216216217,low_is_c3,0.6785714285714286,31,31,6,1,0.4096705990088343,0.4803000115500115
high_low_ratio_0_8_over_0_2,0.05056598507069213,0.6593406593406593,0.515625,0.4918032786885246,1.0,0.08823529411764706,low_is_c3,5.0,30,31,3,0,1.7466666666666666,2.4941176470588236
high_score_rate_0_9,0.04018077699038073,0.6593406593406593,0.5507246376811594,0.5084745762711864,0.9375,0.21621621621621623,low_is_c3,0.42857142857142855,30,29,8,2,0.26263668929110107,0.31022836022836026
low_score_rate_0_9,0.04018077699038064,0.6593406593406593,0.5507246376811594,0.5084745762711864,0.9375,0.21621621621621623,high_is_c3,0.5714285714285714,30,29,8,2,0.7373633107088989,0.6897716397716398
high_low_gap_0_6_0_2,0.03996126767987469,0.6590909090909092,0.5652173913043478,0.5178571428571429,0.90625,0.2702702702702703,low_is_c3,0.5714285714285714,29,27,10,3,0.3337858220211162,0.4212082962082962
num_phases,0.05156664974222768,0.6588235294117648,0.5797101449275363,0.5283018867924528,0.875,0.32432432432432434,high_is_c3,8.0,28,25,12,4,8.03125,7.756756756756757
high_low_gap_0_6_0_3,0.02945224216136183,0.6588235294117648,0.5797101449275363,0.5283018867924528,0.875,0.32432432432432434,low_is_c3,0.5,28,25,12,4,0.30859593837535015,0.38866943866943865
high_low_gap_0_7_0_5,0.04626265761266491,0.6585365853658537,0.5942028985507246,0.54,0.84375,0.3783783783783784,low_is_c3,0.30769230769230765,27,23,14,5,0.09224776449041155,0.2040132165132165
high_low_half_penalty_0_7_0_5,0.04333029746539185,0.6585365853658537,0.5942028985507246,0.54,0.84375,0.3783783783783784,low_is_c3,0.42857142857142855,27,23,14,5,0.2748000161603103,0.3578802016302016
high_low_half_penalty_0_6_0_2,0.04171183235944819,0.6585365853658537,0.5942028985507246,0.54,0.84375,0.3783783783783784,low_is_c3,0.576923076923077,27,23,14,5,0.4448421676362853,0.5168931293931294
consistency_score_file_mean,0.0399230884868484,0.6585365853658537,0.5942028985507246,0.54,0.84375,0.3783783783783784,low_is_c3,0.6686569700464724,27,23,14,5,0.587070909124826,0.6254223658205152
mean_minus_std_score,0.019572375873815565,0.6582278481012658,0.6086956521739131,0.5531914893617021,0.8125,0.43243243243243246,low_is_c3,0.2863668907726722,26,21,16,6,0.25454859880720926,0.2920171194780509
consistency_score_file_median,0.033152433065872525,0.6567164179104478,0.6666666666666666,0.6285714285714286,0.6875,0.6486486486486487,low_is_c3,0.7010922523978672,22,13,24,10,0.6588985652196994,0.7058221654534564
high_low_half_penalty_0_8_0_2,0.05341322634190494,0.6511627906976744,0.5652173913043478,0.5185185185185185,0.875,0.2972972972972973,low_is_c3,0.35714285714285715,28,26,11,4,0.23374609459168283,0.31222857472857474
high_low_half_penalty_0_8_0_3,0.04474225838976648,0.6511627906976744,0.5652173913043478,0.5185185185185185,0.875,0.2972972972972973,low_is_c3,0.35714285714285715,28,26,11,4,0.22115115276879982,0.29595914595914596
high_low_half_penalty_0_9_0_3,0.04051227961710952,0.6506024096385543,0.5797101449275363,0.5294117647058824,0.84375,0.35135135135135137,low_is_c3,0.25,27,24,13,5,0.13898540185304892,0.19827409827409828
high_low_gap_0_8_0_5,0.06274788652188103,0.65,0.5942028985507246,0.5416666666666666,0.8125,0.40540540540540543,low_is_c3,0.14285714285714288,26,22,15,6,-0.020302063132945483,0.10017943767943768
high_low_gap_0_6_0_4,0.030796887398106442,0.65,0.5942028985507246,0.5416666666666666,0.8125,0.40540540540540543,low_is_c3,0.4285714285714286,26,22,15,6,0.2634426847662142,0.34802206052206053
high_low_gap_0_9_0_4,0.03798770640043771,0.6486486486486486,0.6231884057971014,0.5714285714285714,0.75,0.5135135135135135,low_is_c3,0.07142857142857145,24,18,19,8,-0.0298191391941392,0.04567245817245817
high_low_half_penalty_0_8_0_4,0.04655256431146328,0.6478873239436619,0.6376811594202898,0.5897435897435898,0.71875,0.5675675675675675,low_is_c3,0.25,23,16,21,9,0.19857452596423186,0.2756354568854569
low_score_rate_0_7,0.03493446550547479,0.6478873239436619,0.6376811594202898,0.5897435897435898,0.71875,0.5675675675675675,high_is_c3,0.47058823529411764,23,16,21,9,0.542647732169791,0.4882528132528133
high_score_rate_0_7,0.034934465505474716,0.6478873239436619,0.6376811594202898,0.5897435897435898,0.71875,0.5675675675675675,low_is_c3,0.5294117647058824,23,16,21,9,0.457352267830209,0.5117471867471867
consistency_score_file_iqr,0.001175087237765463,0.6464646464646464,0.4927536231884058,0.47761194029850745,1.0,0.05405405405405406,high_is_c3,0.25344371515168573,32,35,2,0,0.5215855019314454,0.5095813968090451
c2_num_turns,0.001154514870519056,0.6464646464646464,0.4927536231884058,0.47761194029850745,1.0,0.05405405405405406,low_is_c3,17.0,32,35,2,0,13.78125,13.864864864864865
num_turns,0.001154514870519056,0.6464646464646464,0.4927536231884058,0.47761194029850745,1.0,0.05405405405405406,low_is_c3,17.0,32,35,2,0,13.78125,13.864864864864865
high_score_rate_0_5,0.045564147635320414,0.6451612903225806,0.5217391304347826,0.4918032786885246,0.9375,0.16216216216216217,low_is_c3,0.7857142857142857,30,31,6,2,0.6348954966602025,0.6922660297660297
c2_low05_rate,0.04556414763532041,0.6451612903225806,0.5217391304347826,0.4918032786885246,0.9375,0.16216216216216217,high_is_c3,0.21428571428571427,30,31,6,2,0.36510450333979744,0.30773397023397026
low_score_rate_0_5,0.04556414763532041,0.6451612903225806,0.5217391304347826,0.4918032786885246,0.9375,0.16216216216216217,high_is_c3,0.21428571428571427,30,31,6,2,0.36510450333979744,0.30773397023397026
c2_low_turn_count,0.027041423525798497,0.6451612903225806,0.5217391304347826,0.4918032786885246,0.9375,0.16216216216216217,high_is_c3,3.0,30,31,6,2,5.03125,4.351351351351352
low_tail_penalty_score,0.03409486298226223,0.6444444444444445,0.5362318840579711,0.5,0.90625,0.21621621621621623,low_is_c3,0.6010852337660852,29,29,8,3,0.3649582178944876,0.43405269945084896
high_score_rate_0_3,0.010552418509012867,0.6444444444444445,0.5362318840579711,0.5,0.90625,0.21621621621621623,low_is_c3,0.8571428571428571,29,29,8,3,0.7526974251238957,0.7760914760914761
low_score_rate_0_3,0.010552418509012843,0.6444444444444445,0.5362318840579711,0.5,0.90625,0.21621621621621623,high_is_c3,0.14285714285714285,29,29,8,3,0.2473025748761043,0.22390852390852392
consistency_score_file_q10,0.008119306008494878,0.6444444444444445,0.5362318840579711,0.5,0.90625,0.21621621621621623,low_is_c3,0.28212113687609724,29,29,8,3,0.10958762044529338,0.1411381083282264
high_low_gap_0_8_0_3,0.0382528073808138,0.6436781609195402,0.5507246376811594,0.509090909090909,0.875,0.2702702702702703,low_is_c3,0.2857142857142857,28,27,10,4,0.09749986533074768,0.184004884004884
high_low_half_penalty_0_8_0_5,0.06113275579077419,0.6428571428571429,0.5652173913043478,0.5192307692307693,0.84375,0.32432432432432434,low_is_c3,0.2857142857142857,27,25,12,5,0.16225018853695325,0.2540464227964228
high_low_half_penalty_0_9_0_4,0.04251587172199791,0.6419753086419753,0.5797101449275363,0.5306122448979592,0.8125,0.3783783783783784,low_is_c3,0.2142857142857143,26,23,14,6,0.11640877504848093,0.1779504092004092
high_low_gap_0_9_0_3,0.03521364421803425,0.6419753086419753,0.5797101449275363,0.5306122448979592,0.8125,0.3783783783783784,low_is_c3,0.14285714285714288,26,23,14,6,0.015334114414996767,0.08631983631983632
high_low_gap_0_7_0_4,0.028964980680120156,0.6419753086419753,0.5797101449275363,0.5306122448979592,0.8125,0.3783783783783784,low_is_c3,0.3571428571428571,26,23,14,6,0.16489643934496875,0.2471912846912847
failure_sensitive_score,0.025176211674280694,0.6419753086419753,0.5797101449275363,0.5306122448979592,0.8125,0.3783783783783784,low_is_c3,0.4685102336178029,26,23,14,6,0.42207012143763173,0.4502195383577157
c2_max_low_run,0.07035961805857305,0.6399999999999999,0.4782608695652174,0.47058823529411764,1.0,0.02702702702702703,high_is_c3,1.0,32,36,1,0,3.5625,2.7027027027027026
consistency_score_file_q75,0.05880740677365327,0.6399999999999999,0.4782608695652174,0.47058823529411764,1.0,0.02702702702702703,low_is_c3,0.9999743525712029,32,36,1,0,0.859619695905056,0.9110054426219971
c2_programmer_low05_rate,0.04027698830048783,0.6399999999999999,0.6086956521739131,0.5581395348837209,0.75,0.4864864864864865,high_is_c3,0.2857142857142857,24,19,18,8,0.4435639880952381,0.3461068211068211
high_low_half_penalty_0_7_0_2,0.038333052533615804,0.6399999999999999,0.4782608695652174,0.47058823529411764,1.0,0.02702702702702703,low_is_c3,0.7692307692307693,32,36,1,0,0.34629592221503985,0.41606235356235355
high_low_gap_0_7_0_2,0.03817613045911389,0.6399999999999999,0.4782608695652174,0.47058823529411764,1.0,0.02702702702702703,low_is_c3,0.7692307692307693,32,36,1,0,0.23523957659987071,0.3203775203775204
high_low_half_penalty_0_7_0_4,0.032182615092779816,0.6399999999999999,0.4782608695652174,0.47058823529411764,1.0,0.02702702702702703,low_is_c3,0.7692307692307693,32,36,1,0,0.3111243535875889,0.37946923571923574
high_low_half_penalty_0_7_0_3,0.031622003211431104,0.6399999999999999,0.4782608695652174,0.47058823529411764,1.0,0.02702702702702703,low_is_c3,0.7692307692307693,32,36,1,0,0.33370098039215684,0.3997929247929248
