score_key,direction,threshold,f1,precision,recall,accuracy,tp,fp,tn,fn,pred_count
phase_mean::Coding,high_is_c3,0.7265406813524644,0.0909090909090909,0.04878048780487805,0.6666666666666666,0.6226415094339622,2,39,64,1,41
phase_mean::EnvironmentDoc,low_is_c3,-0.7126174033222206,0.0909090909090909,0.04878048780487805,0.6666666666666666,0.6226415094339622,2,39,64,1,41
consistency_score_file_std,high_is_c3,0.31818308257652184,0.08955223880597014,0.046875,1.0,0.42452830188679247,3,61,42,0,64
phase_mean::LanguageChoose,high_is_c3,0.9999996118439275,0.08888888888888889,0.047619047619047616,0.6666666666666666,0.6132075471698113,2,40,63,1,42
role_mean::Chief Technology Officer,high_is_c3,0.9999996118439275,0.08888888888888889,0.047619047619047616,0.6666666666666666,0.6132075471698113,2,40,63,1,42
phase_mean::CodeReviewModification,low_is_c3,-0.09892711504985122,0.08695652173913045,0.05,0.3333333333333333,0.8018867924528302,1,19,84,2,20
phase_mean::LanguageChoose,low_is_c3,-0.9999997489836121,0.08695652173913045,0.045454545454545456,1.0,0.4056603773584906,3,63,40,0,66
role_low05::Chief Product Officer,low_is_c3,-0.0,0.08695652173913045,0.045454545454545456,1.0,0.4056603773584906,3,63,40,0,66
role_mean::Chief Technology Officer,low_is_c3,-0.9999997489836121,0.08695652173913045,0.045454545454545456,1.0,0.4056603773584906,3,63,40,0,66
phase_low05::DemandAnalysis,low_is_c3,-0.0,0.08450704225352113,0.04411764705882353,1.0,0.3867924528301887,3,65,38,0,68
phase_mean::Coding,low_is_c3,-0.7557576559048766,0.0821917808219178,0.04285714285714286,1.0,0.36792452830188677,3,67,36,0,70
phase_mean::Reflection,high_is_c3,0.5005845039073002,0.0821917808219178,0.04285714285714286,1.0,0.36792452830188677,3,67,36,0,70
role_mean::Chief Executive Officer,high_is_c3,0.5005845039073002,0.0821917808219178,0.04285714285714286,1.0,0.36792452830188677,3,67,36,0,70
phase_mean::Manual,low_is_c3,-0.6666528507412537,0.08,0.0425531914893617,0.6666666666666666,0.5660377358490566,2,45,58,1,47
phase_count::DemandAnalysis,low_is_c3,-2.0,0.07792207792207792,0.04054054054054054,1.0,0.330188679245283,3,71,32,0,74
phase_mean::Reflection,low_is_c3,-0.844385022617011,0.07692307692307693,0.04,1.0,0.32075471698113206,3,72,31,0,75
role_mean::Chief Executive Officer,low_is_c3,-0.844385022617011,0.07692307692307693,0.04,1.0,0.32075471698113206,3,72,31,0,75
phase_count::EnvironmentDoc,low_is_c3,-1.0,0.07594936708860758,0.039473684210526314,1.0,0.3113207547169811,3,73,30,0,76
phase_count::Reflection,high_is_c3,1.0,0.07594936708860758,0.039473684210526314,1.0,0.3113207547169811,3,73,30,0,76
consistency_score_file_std,low_is_c3,-0.36322655671015097,0.07500000000000001,0.03896103896103896,1.0,0.3018867924528302,3,74,29,0,77
num_phases,high_is_c3,8.0,0.07407407407407407,0.038461538461538464,1.0,0.29245283018867924,3,75,28,0,78
phase_mean::DemandAnalysis,high_is_c3,0.6447077977018414,0.07228915662650602,0.0375,1.0,0.27358490566037735,3,77,26,0,80
phase_low05::CodeReviewModification,high_is_c3,0.3333333333333333,0.07058823529411765,0.036585365853658534,1.0,0.25471698113207547,3,79,24,0,82
phase_mean::EnvironmentDoc,high_is_c3,0.5964398899267067,0.07058823529411765,0.036585365853658534,1.0,0.25471698113207547,3,79,24,0,82
phase_low05::LanguageChoose,low_is_c3,-0.0,0.07058823529411765,0.036585365853658534,1.0,0.25471698113207547,3,79,24,0,82
role_low05::Chief Technology Officer,low_is_c3,-0.0,0.07058823529411765,0.036585365853658534,1.0,0.25471698113207547,3,79,24,0,82
role_mean::Chief Product Officer,high_is_c3,0.6520228153816455,0.0689655172413793,0.03571428571428571,1.0,0.2358490566037736,3,81,22,0,84
role_mean::Programmer,high_is_c3,0.4008754198053967,0.0689655172413793,0.03571428571428571,1.0,0.2358490566037736,3,81,22,0,84
role_low05::Programmer,high_is_c3,0.2,0.06741573033707865,0.03488372093023256,1.0,0.2169811320754717,3,83,20,0,86
phase_mean::CodeReviewModification,high_is_c3,0.09892711504985122,0.06666666666666667,0.034482758620689655,1.0,0.20754716981132076,3,84,19,0,87
num_turns,low_is_c3,-13.0,0.06557377049180328,0.034482758620689655,0.6666666666666666,0.46226415094339623,2,56,47,1,58
phase_low05::Coding,low_is_c3,-0.0,0.06557377049180328,0.034482758620689655,0.6666666666666666,0.46226415094339623,2,56,47,1,58
phase_low05::CodeReviewModification,low_is_c3,-0.3333333333333333,0.06451612903225806,0.03389830508474576,0.6666666666666666,0.4528301886792453,2,57,46,1,59
phase_low05::EnvironmentDoc,low_is_c3,-0.0,0.06382978723404255,0.03296703296703297,1.0,0.16981132075471697,3,88,15,0,91
role_low05::Programmer,low_is_c3,-0.4,0.06349206349206349,0.03333333333333333,0.6666666666666666,0.44339622641509435,2,58,45,1,60
consistency_score_file_q25,high_is_c3,0.10442118550655298,0.0625,0.03225806451612903,1.0,0.1509433962264151,3,90,13,0,93
consistency_score_file_q10,high_is_c3,0.009106383064464638,0.06185567010309278,0.031914893617021274,1.0,0.14150943396226415,3,91,12,0,94
phase_mean::CodeReviewComment,high_is_c3,0.03886860680164551,0.06185567010309278,0.031914893617021274,1.0,0.14150943396226415,3,91,12,0,94
role_mean::Code Reviewer,high_is_c3,0.03886860680164551,0.06185567010309278,0.031914893617021274,1.0,0.14150943396226415,3,91,12,0,94
num_phases,low_is_c3,-8.0,0.06060606060606061,0.03125,1.0,0.12264150943396226,3,93,10,0,96
consistency_score_file_median,high_is_c3,0.5005845039073002,0.06000000000000001,0.030927835051546393,1.0,0.11320754716981132,3,94,9,0,97
low_score_rate_0_5,low_is_c3,-0.46153846153846156,0.06000000000000001,0.030927835051546393,1.0,0.11320754716981132,3,94,9,0,97
high_score_rate_0_8,high_is_c3,0.15384615384615385,0.05940594059405941,0.030612244897959183,1.0,0.10377358490566038,3,95,8,0,98
phase_count::CodeReviewModification,low_is_c3,-3.0,0.058252427184466014,0.03,1.0,0.08490566037735849,3,97,6,0,100
phase_low05::Manual,low_is_c3,-0.0,0.058252427184466014,0.03,1.0,0.08490566037735849,3,97,6,0,100
phase_mean::TestErrorSummary,low_is_c3,-0.0,0.058252427184466014,0.03,1.0,0.08490566037735849,3,97,6,0,100
phase_count::TestErrorSummary,low_is_c3,-0.0,0.058252427184466014,0.03,1.0,0.08490566037735849,3,97,6,0,100
phase_low05::Reflection,low_is_c3,-0.0,0.05769230769230769,0.0297029702970297,1.0,0.07547169811320754,3,98,5,0,101
phase_mean::TestModification,low_is_c3,-0.0,0.05769230769230769,0.0297029702970297,1.0,0.07547169811320754,3,98,5,0,101
