score_key,direction,threshold,f1,precision,recall,accuracy,specificity,balanced_accuracy,tp,fp,tn,fn,n
c2_programmer_low05_rate,low_is_c3,-1.0,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
c2_reviewmod_low05_rate,high_is_c3,0.0,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
c2_reviewmod_low05_rate,low_is_c3,-1.0,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
consistency_score_file_mean,high_is_c3,0.4339586321470037,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
consistency_score_file_min,high_is_c3,3.7912802139559533e-10,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
consistency_score_file_q75,high_is_c3,0.6200067083745986,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
entropy_normalized,high_is_c3,0.491021096228183,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
entropy_normalized,low_is_c3,-0.9780416657815157,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
failure_sensitive_score,high_is_c3,0.3041218955951515,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
high_low_gap_0_6_0_2,high_is_c3,-0.07142857142857145,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
high_low_gap_0_6_0_3,high_is_c3,-0.07692307692307693,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
high_low_gap_0_6_0_4,high_is_c3,-0.2142857142857143,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
high_low_gap_0_7_0_2,high_is_c3,-0.15384615384615385,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
high_low_gap_0_7_0_5,high_is_c3,-0.4285714285714286,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
high_low_gap_0_8_0_2,high_is_c3,-0.3076923076923077,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
high_low_gap_0_8_0_3,high_is_c3,-0.3076923076923077,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
high_low_gap_0_8_0_4,low_is_c3,-0.6923076923076923,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
high_low_gap_0_8_0_5,high_is_c3,-0.4285714285714286,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
high_low_gap_0_9_0_3,high_is_c3,-0.3076923076923077,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
high_low_gap_0_9_0_5,high_is_c3,-0.4285714285714286,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
high_low_half_penalty_0_6_0_2,high_is_c3,0.10714285714285712,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
high_low_half_penalty_0_6_0_3,high_is_c3,0.10714285714285712,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
high_low_half_penalty_0_6_0_4,high_is_c3,0.0357142857142857,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
high_low_half_penalty_0_7_0_5,high_is_c3,-0.07142857142857145,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
high_low_half_penalty_0_8_0_2,high_is_c3,-0.07692307692307693,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
high_low_half_penalty_0_9_0_5,high_is_c3,-0.16666666666666669,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
high_low_ratio_0_8_over_0_2_smoothed,high_is_c3,0.42857142857142855,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
high_score_rate_0_1,low_is_c3,-1.0,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
high_score_rate_0_2,high_is_c3,0.5384615384615384,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
high_score_rate_0_2,low_is_c3,-1.0,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
high_score_rate_0_3,high_is_c3,0.5384615384615384,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
high_score_rate_0_4,high_is_c3,0.5,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
high_score_rate_0_4,low_is_c3,-1.0,0.6336633663366337,0.463768115942029,1.0,0.463768115942029,0.0,0.5,32,37,0,0,69
