auc_best_direction,c3_mean,c3_n,direction,eta_squared,mean_delta_c3_minus_rest,rest_mean,rest_n,score_key
0.5330300632911392,1.21875,32,low_is_c3,0.0030747048883056002,-0.06606012658227844,1.2848101265822784,158,phase_count::EnvironmentDoc
0.5330300632911392,0.78125,32,high_is_c3,0.0030747048883056002,0.06606012658227844,0.7151898734177216,158,phase_count::Reflection
0.5558742088607596,0.34480244020685197,32,low_is_c3,0.0023142791984913148,-0.01876250946662339,0.36356494967347536,158,high_score_rate_0_8
0.5062302215189873,0.03125,32,high_is_c3,0.0022146631996484835,0.016060126582278483,0.015189873417721518,158,phase_low05::CodeComplete
0.5122626582278481,0.0625,32,high_is_c3,0.0020886945333147867,0.0245253164556962,0.0379746835443038,158,phase_low05::TestModification
0.5382713607594937,0.6588985652196994,32,low_is_c3,0.0017508357248057626,-0.015087946469128366,0.6739865116888277,158,consistency_score_file_median
0.5067246835443038,0.03125,32,low_is_c3,0.0013056887856012654,-0.025712025316455694,0.056962025316455694,158,phase_count::TestErrorSummary
0.517306170886076,0.4435639880952381,32,high_is_c3,0.0012939911959788518,0.023823180379746844,0.41974080771549127,158,role_low05::Programmer
0.5096914556962026,0.03125,32,low_is_c3,0.0011660683342269468,-0.019382911392405063,0.05063291139240506,158,phase_low05::Manual
0.5267998417721519,0.33252231031761664,32,high_is_c3,0.001087156031377515,0.004538540055625706,0.32798377026199094,158,consistency_score_file_std
0.506131329113924,3.03125,32,high_is_c3,0.0010218881856539916,0.012262658227848,3.018987341772152,158,phase_count::CodeReviewComment
0.5152294303797469,0.125,32,high_is_c3,0.0009081633797132,0.04272151898734178,0.08227848101265822,158,phase_count::CodeComplete
0.5178995253164558,0.5332801926238718,32,low_is_c3,0.000701072465722198,-0.011881576718504427,0.5451617693423763,158,role_mean::Programmer
0.5021756329113924,2.28125,32,low_is_c3,0.0005620785652570277,-0.035205696202531556,2.3164556962025316,158,phase_count::DemandAnalysis
0.5067246835443038,0.03023776105071538,32,low_is_c3,0.0005394316880683923,-0.011916230782657477,0.04215399183337286,158,phase_mean::TestErrorSummary
0.5138449367088608,0.15625,32,high_is_c3,0.000526919701570184,0.02017405063291139,0.1360759493670886,158,phase_low05::EnvironmentDoc
0.5163172468354431,0.7543791600242423,32,low_is_c3,0.0002432362630120484,-0.008852595916656325,0.7632317559408986,158,phase_mean::EnvironmentDoc
0.5119659810126582,0.4895833333333333,32,low_is_c3,0.0002226708565268124,-0.015163502109704685,0.504746835443038,158,phase_low05::CodeReviewModification
0.5117681962025317,0.171875,32,low_is_c3,0.00018002631135271793,-0.013251582278481,0.185126582278481,158,phase_low05::LanguageChoose
0.5117681962025317,0.171875,32,low_is_c3,0.00018002631135271793,-0.013251582278481,0.185126582278481,158,role_low05::Chief Technology Officer
0.502373417721519,1.15625,32,low_is_c3,9.523456181127841e-05,0.010680379746835333,1.1455696202531647,158,phase_count::LanguageChoose
0.5462816455696202,13.78125,32,high_is_c3,8.572205552816882e-05,0.02808544303797511,13.753164556962025,158,num_turns
0.5040545886075949,0.4490879888857105,32,high_is_c3,2.0455036155799983e-05,0.0034078082164726853,0.4456801806692378,158,phase_mean::CodeReviewModification
0.525810917721519,0.8214166169188671,32,low_is_c3,1.1576835136123093e-06,0.0008783132445406849,0.8205383036743265,158,phase_mean::LanguageChoose
0.525810917721519,0.8214166169188671,32,low_is_c3,1.1576835136123093e-06,0.0008783132445406849,0.8205383036743265,158,role_mean::Chief Technology Officer
0.5,1.0,32,high_is_c3,0.0,0.0,1.0,158,phase_count::Coding
0.5,1.0,32,high_is_c3,0.0,0.0,1.0,158,phase_count::Manual
0.5,0.0,32,high_is_c3,0.0,0.0,0.0,158,phase_low05::TestErrorSummary
