score_key,eta2,f1,accuracy,precision,recall,specificity,balanced_accuracy,direction,threshold,tp,fp,tn,fn,n,c4_mean,c0_mean
high_low_gap_0_9_0_3,0.020590498937400257,0.7047619047619048,0.581081081081081,0.5441176470588235,1.0,0.16216216216216217,0.5810810810810811,low_is_c4,0.2582417582417582,37,31,6,0,74,0.0560934560934561,0.09605237105237105
high_low_half_penalty_0_8_0_4,0.047725202057876386,0.6990291262135921,0.581081081081081,0.5454545454545454,0.972972972972973,0.1891891891891892,0.5810810810810811,low_is_c4,0.4079670329670329,36,30,7,1,74,0.19536679536679538,0.2575803138303138
high_low_gap_0_8_0_2,0.07850670219982767,0.6981132075471698,0.5675675675675675,0.5362318840579711,1.0,0.13513513513513514,0.5675675675675675,low_is_c4,0.4807692307692308,37,32,5,0,74,0.19066429066429066,0.2748935748935749
high_low_half_penalty_0_6_0_2,0.03703700158095327,0.6966292134831461,0.6351351351351351,0.5961538461538461,0.8378378378378378,0.43243243243243246,0.6351351351351351,low_is_c4,0.5732142857142858,31,21,16,6,74,0.4797049797049797,0.5357976107976108
high_low_gap_0_6_0_2,0.04570919547150882,0.6956521739130435,0.6216216216216216,0.5818181818181818,0.8648648648648649,0.3783783783783784,0.6216216216216217,low_is_c4,0.5358974358974358,32,23,14,5,74,0.40466290466290467,0.4796732171732172
high_low_half_penalty_0_7_0_5,0.04601304061804488,0.6938775510204082,0.5945945945945946,0.5573770491803278,0.918918918918919,0.2702702702702703,0.5945945945945946,low_is_c4,0.44505494505494503,34,27,10,3,74,0.2548906048906049,0.3201873576873577
low_score_rate_0_2,0.04315769315351749,0.6938775510204082,0.5945945945945946,0.5573770491803278,0.918918918918919,0.2702702702702703,0.5945945945945946,high_is_c4,0.03571428571428571,34,27,10,3,74,0.15008415008415008,0.11224878724878726
high_score_rate_0_2,0.04315769315351748,0.6938775510204082,0.5945945945945946,0.5573770491803278,0.918918918918919,0.2702702702702703,0.5945945945945946,low_is_c4,0.9642857142857143,34,27,10,3,74,0.8499158499158499,0.8877512127512127
high_low_gap_0_8_0_4,0.046134910831968405,0.6923076923076924,0.5675675675675675,0.5373134328358209,0.972972972972973,0.16216216216216217,0.5675675675675675,low_is_c4,0.358974358974359,36,31,6,1,74,0.04998514998514999,0.1280182655182655
high_low_half_penalty_0_8_0_5,0.04409067148839887,0.6923076923076924,0.5675675675675675,0.5373134328358209,0.972972972972973,0.16216216216216217,0.5675675675675675,low_is_c4,0.4079670329670329,36,31,6,1,74,0.15696960696960696,0.2201819951819952
high_low_gap_0_8_0_5,0.04247606864815998,0.6923076923076924,0.5675675675675675,0.5373134328358209,0.972972972972973,0.16216216216216217,0.5675675675675675,low_is_c4,0.2728937728937729,36,31,6,1,74,-0.026809226809226806,0.05322162822162823
high_low_gap_0_7_0_3,0.036574310840651846,0.6923076923076924,0.5675675675675675,0.5373134328358209,0.972972972972973,0.16216216216216217,0.5675675675675675,low_is_c4,0.4285714285714286,36,31,6,1,74,0.23313533313533313,0.2956934956934957
high_low_half_penalty_0_8_0_2,0.06539522968667456,0.691588785046729,0.5540540540540541,0.5285714285714286,1.0,0.10810810810810811,0.5540540540540541,low_is_c4,0.5178571428571428,37,33,4,0,74,0.26570636570636574,0.33101796851796855
high_low_gap_0_8_0_3,0.0344751727950404,0.691588785046729,0.5540540540540541,0.5285714285714286,1.0,0.10810810810810811,0.5540540540540541,low_is_c4,0.41428571428571426,37,33,4,0,74,0.1352143352143352,0.1956881331881332
consistency_score_file_q25,0.028911624567957057,0.6888888888888889,0.6216216216216216,0.5849056603773585,0.8378378378378378,0.40540540540540543,0.6216216216216216,low_is_c4,0.4945742165519431,31,22,15,6,74,0.3681242268850267,0.41364180426449493
high_low_half_penalty_0_6_0_3,0.020285679233708113,0.6888888888888889,0.6216216216216216,0.5849056603773585,0.8378378378378378,0.40540540540540543,0.6216216216216216,low_is_c4,0.5595238095238095,31,22,15,6,74,0.451980001980002,0.49619488994488997
high_density_score_0_8,0.05208017902840232,0.6862745098039216,0.5675675675675675,0.5384615384615384,0.9459459459459459,0.1891891891891892,0.5675675675675675,low_is_c4,0.34184796739144085,35,30,7,2,74,0.21049621456795478,0.25281233876966686
high_score_rate_0_7,0.043832720756570645,0.6862745098039216,0.5675675675675675,0.5384615384615384,0.9459459459459459,0.1891891891891892,0.5675675675675675,low_is_c4,0.6076923076923078,35,30,7,2,74,0.4386694386694387,0.48714772464772466
low_score_rate_0_7,0.04383272075657064,0.6862745098039216,0.5675675675675675,0.5384615384615384,0.9459459459459459,0.1891891891891892,0.5675675675675675,high_is_c4,0.39230769230769236,35,30,7,2,74,0.5613305613305614,0.5128522753522754
consistency_score_file_q10,0.02911012172521672,0.6857142857142857,0.5540540540540541,0.5294117647058824,0.972972972972973,0.13513513513513514,0.5540540540540541,low_is_c4,0.44134210592525147,36,32,5,1,74,0.18294025946270237,0.2342692311858097
high_low_half_penalty_0_7_0_3,0.04433305234474687,0.6851851851851851,0.5405405405405406,0.5211267605633803,1.0,0.08108108108108109,0.5405405405405406,low_is_c4,0.5571428571428572,37,34,3,0,74,0.3359023859023859,0.3914206101706102
entropy_normalized,0.022978614695367286,0.6851851851851851,0.5405405405405406,0.5211267605633803,1.0,0.08108108108108109,0.5405405405405406,high_is_c4,0.6424619328527571,37,34,3,0,74,0.8562412923115772,0.8282969102255139
