score_key,direction,threshold,f1,precision,recall,specificity,accuracy,balanced_accuracy,tp,fp,tn,fn,n
alignment_score_high_rate_0_1,high_is_2.6,0.7564857205144975,0.6326530612244898,0.5081967213114754,0.8378378378378378,0.1891891891891892,0.5135135135135135,0.5135135135135135,31,30,7,6,74
alignment_score_high_rate_0_1,high_is_2.6,0.7593848937132519,0.6185567010309277,0.5,0.8108108108108109,0.1891891891891892,0.5,0.5,30,30,7,7,74
alignment_score_high_rate_0_1,high_is_2.6,0.7620784964068545,0.6041666666666666,0.4915254237288136,0.7837837837837838,0.1891891891891892,0.4864864864864865,0.4864864864864865,29,30,7,8,74
alignment_score_high_rate_0_1,high_is_2.6,0.7631608707944586,0.6105263157894737,0.5,0.7837837837837838,0.21621621621621623,0.5,0.5,29,29,8,8,74
alignment_score_high_rate_0_1,high_is_2.6,0.7651745349440451,0.6170212765957447,0.5087719298245614,0.7837837837837838,0.24324324324324326,0.5135135135135135,0.5135135135135135,29,28,9,8,74
alignment_score_high_rate_0_1,high_is_2.6,0.7681105302464526,0.6021505376344086,0.5,0.7567567567567568,0.24324324324324326,0.5,0.5,28,28,9,9,74
alignment_score_high_rate_0_1,high_is_2.6,0.769571136827774,0.608695652173913,0.509090909090909,0.7567567567567568,0.2702702702702703,0.5135135135135135,0.5135135135135136,28,27,10,9,74
alignment_score_high_rate_0_1,high_is_2.6,0.7705489725513724,0.5934065934065933,0.5,0.7297297297297297,0.2702702702702703,0.5,0.5,27,27,10,10,74
alignment_score_high_rate_0_1,high_is_2.6,0.7814265536723164,0.5777777777777777,0.49056603773584906,0.7027027027027027,0.2702702702702703,0.4864864864864865,0.4864864864864865,26,27,10,11,74
alignment_score_high_rate_0_1,high_is_2.6,0.8004134860050891,0.5617977528089887,0.4807692307692308,0.6756756756756757,0.2702702702702703,0.47297297297297297,0.47297297297297297,25,27,10,12,74
alignment_score_high_rate_0_1,high_is_2.6,0.8108301526717557,0.5454545454545454,0.47058823529411764,0.6486486486486487,0.2702702702702703,0.4594594594594595,0.4594594594594595,24,27,10,13,74
alignment_score_high_rate_0_1,high_is_2.6,0.8141447368421053,0.5287356321839081,0.46,0.6216216216216216,0.2702702702702703,0.44594594594594594,0.44594594594594594,23,27,10,14,74
alignment_score_high_rate_0_1,high_is_2.6,0.8203034959661928,0.5116279069767442,0.4489795918367347,0.5945945945945946,0.2702702702702703,0.43243243243243246,0.43243243243243246,22,27,10,15,74
alignment_score_high_rate_0_1,high_is_2.6,0.8254522373849571,0.5176470588235293,0.4583333333333333,0.5945945945945946,0.2972972972972973,0.44594594594594594,0.44594594594594594,22,26,11,15,74
alignment_score_high_rate_0_1,high_is_2.6,0.8288850624192854,0.5238095238095238,0.46808510638297873,0.5945945945945946,0.32432432432432434,0.4594594594594595,0.4594594594594595,22,25,12,15,74
