score_key,eta2,f1,accuracy,precision,recall,specificity,balanced_accuracy,direction,threshold,tp,fp,tn,fn,n,c26_mean,c00_mean
high_low_ratio_0_8_0_2,0.0008549667994997055,0.6792452830188679,0.5405405405405406,0.5217391304347826,0.972972972972973,0.10810810810810811,0.5405405405405406,high_is_2.6,0.07886216457504222,36,33,4,1,74,0.25904747851109283,0.24987626365939566
n_entries,0.0008178100863243902,0.6792452830188679,0.5405405405405406,0.5217391304347826,0.972972972972973,0.10810810810810811,0.5405405405405406,low_is_2.6,15.5,36,33,4,1,74,13.783783783783784,13.864864864864865
high_score_rate_0_4,9.221731246858092e-05,0.6792452830188679,0.5405405405405406,0.5217391304347826,0.972972972972973,0.10810810810810811,0.5405405405405406,low_is_2.6,0.38716583124477866,36,33,4,1,74,0.21966376731082232,0.21783951138320584
low_score_rate_0_4,9.22173124685809e-05,0.6792452830188679,0.5405405405405406,0.5217391304347826,0.972972972972973,0.10810810810810811,0.5405405405405406,high_is_2.6,0.6128341687552215,36,33,4,1,74,0.7803362326891777,0.7821604886167942
low_score_rate_0_3,1.224354396055502e-06,0.6792452830188679,0.5405405405405406,0.5217391304347826,0.972972972972973,0.10810810810810811,0.5405405405405406,high_is_2.6,0.5892857142857143,36,33,4,1,74,0.7650427831783496,0.7648233961926068
high_score_rate_0_3,1.2243543960551925e-06,0.6792452830188679,0.5405405405405406,0.5217391304347826,0.972972972972973,0.10810810810810811,0.5405405405405406,low_is_2.6,0.4107142857142857,36,33,4,1,74,0.2349572168216504,0.23517660380739325
score_mean,0.0008137056768093814,0.673469387755102,0.5675675675675675,0.5409836065573771,0.8918918918918919,0.24324324324324326,0.5675675675675675,high_is_2.6,0.13479852532073952,33,28,9,4,74,0.2176939674568418,0.21252640935593345
high_score_rate_0_2,5.4711911774750595e-05,0.673469387755102,0.5675675675675675,0.5409836065573771,0.8918918918918919,0.24324324324324326,0.5675675675675675,high_is_2.6,0.1550800837349691,33,28,9,4,74,0.24973219732997562,0.24819244696217233
low_score_rate_0_2,5.4711911774750595e-05,0.673469387755102,0.5675675675675675,0.5409836065573771,0.8918918918918919,0.24324324324324326,0.5675675675675675,low_is_2.6,0.8449199162650309,33,28,9,4,74,0.7502678026700244,0.7518075530378276
high_low_ratio_0_9_0_5,0.0034534280277877588,0.6732673267326733,0.5540540540540541,0.53125,0.918918918918919,0.1891891891891892,0.5540540540540541,high_is_2.6,0.09090909080611383,34,30,7,3,74,0.22555594721653174,0.21008937849115494
high_low_gap_0_9_0_5,0.0019651971944704325,0.673076923076923,0.5405405405405406,0.5223880597014925,0.9459459459459459,0.13513513513513514,0.5405405405405406,high_is_2.6,-0.8331124072110287,35,32,5,2,74,-0.6217582379278718,-0.636593477974243
high_low_gap_0_8_0_2,0.0008183979156850995,0.673076923076923,0.5405405405405406,0.5223880597014925,0.9459459459459459,0.13513513513513514,0.5405405405405406,low_is_2.6,-0.30332434860736746,35,32,5,2,74,-0.5702841332246605,-0.5808244241237335
high_low_gap_0_7_0_3,8.120118983540377e-05,0.673076923076923,0.5405405405405406,0.5223880597014925,0.9459459459459459,0.13513513513513514,0.5405405405405406,low_is_2.6,-0.298607367475292,35,32,5,2,74,-0.576559084636888,-0.5798695556757318
high_low_ratio_0_7_0_3,2.0378616884871294e-05,0.673076923076923,0.5405405405405406,0.5223880597014925,0.9459459459459459,0.13513513513513514,0.5405405405405406,low_is_2.6,0.515388256738976,35,32,5,2,74,0.26475787908225074,0.2633294448815984
high_score_rate_0_7,0.0004247519558350811,0.6728971962616821,0.527027027027027,0.5142857142857142,0.972972972972973,0.08108108108108109,0.5270270270270271,low_is_2.6,0.34168755221386804,36,34,3,1,74,0.18848369854146155,0.1849538405168749
low_score_rate_0_7,0.0004247519558350744,0.6728971962616821,0.527027027027027,0.5142857142857142,0.972972972972973,0.08108108108108109,0.5270270270270271,high_is_2.6,0.658312447786132,36,34,3,1,74,0.8115163014585385,0.8150461594831251
high_score_rate_0_6,0.0003534190506112226,0.6728971962616821,0.527027027027027,0.5142857142857142,0.972972972972973,0.08108108108108109,0.5270270270270271,low_is_2.6,0.3654665118079752,36,34,3,1,74,0.20007358560271915,0.19674710437238518
low_score_rate_0_6,0.0003534190506112225,0.6728971962616821,0.527027027027027,0.5142857142857142,0.972972972972973,0.08108108108108109,0.5270270270270271,high_is_2.6,0.6345334881920248,36,34,3,1,74,0.7999264143972808,0.8032528956276148
high_score_rate_0_5,0.000165602088898322,0.6728971962616821,0.527027027027027,0.5142857142857142,0.972972972972973,0.08108108108108109,0.5270270270270271,low_is_2.6,0.37332915622389307,36,34,3,1,74,0.21188689678601816,0.2094982478559089
low_score_rate_0_5,0.00016560208889832196,0.6728971962616821,0.527027027027027,0.5142857142857142,0.972972972972973,0.08108108108108109,0.5270270270270271,high_is_2.6,0.6266708437761069,36,34,3,1,74,0.7881131032139819,0.7905017521440911
entry_max,0.011644807266135477,0.6666666666666667,0.5675675675675675,0.5423728813559322,0.8648648648648649,0.2702702702702703,0.5675675675675675,low_is_2.6,0.915552273197846,32,27,10,5,74,0.7420358233167946,0.7741463796248983
score_min,0.036057029891545675,0.6666666666666666,0.5,0.5,1.0,0.0,0.5,high_is_2.6,0.0,37,37,0,0,74,8.338331175309525e-08,4.3187133986121674e-08
score_std,0.003208465284339937,0.6666666666666666,0.5,0.5,1.0,0.0,0.5,high_is_2.6,0.1753346689296795,37,37,0,0,74,0.3630146359915883,0.3561719065897466
n_outputs,0.0016172807518368259,0.6666666666666666,0.5,0.5,1.0,0.0,0.5,high_is_2.6,76.0,37,37,0,0,74,129.8918918918919,132.3783783783784
score_q90,0.0003816612093080721,0.6666666666666666,0.5,0.5,1.0,0.0,0.5,high_is_2.6,0.02741177331932729,37,37,0,0,74,0.8644537472908123,0.85481366261164
