recall_floor,score_key,eta2,f1,f2,accuracy,precision,recall,specificity,balanced_accuracy,auc_best_direction,direction,threshold,tp,fp,tn,fn,c2_mean,c0_mean,c2_n,c0_n
0.8,failure_sensitive_score,0.004094577374178274,0.7428571428571429,0.8783783783783784,0.5955056179775281,0.5909090909090909,1.0,0.02702702702702703,0.5135135135135135,0.5072765072765073,high_is_c2,0.4447457692307692,52,36,1,0,0.5811026007149901,0.5682385581831831,52,37
0.8,low_score_rate_0_5,0.0025287811835723152,0.7428571428571429,0.8783783783783784,0.5955056179775281,0.5909090909090909,1.0,0.02702702702702703,0.5135135135135135,0.5506756756756757,low_is_c2,0.22252747252747251,52,36,1,0,0.08429849750551108,0.09051331551331551,52,37
0.8,mean_minus_std_score,0.0023128603336115177,0.7428571428571429,0.8783783783783784,0.5955056179775281,0.5909090909090909,1.0,0.02702702702702703,0.5135135135135135,0.5135135135135135,high_is_c2,0.2896498429065742,52,36,1,0,0.5078183936024981,0.4986062218711847,52,37
0.8,consistency_score_file_mean,0.0013626570703734956,0.7428571428571429,0.8783783783783784,0.5955056179775281,0.5909090909090909,1.0,0.02702702702702703,0.5135135135135135,0.5150727650727651,high_is_c2,0.6353510989010989,52,36,1,0,0.7449960229994365,0.7417419557057057,52,37
0.8,high_low_gap_0_6_0_4,0.001349603325134551,0.7428571428571429,0.8783783783783784,0.5955056179775281,0.5909090909090909,1.0,0.02702702702702703,0.5135135135135135,0.512993762993763,high_is_c2,0.42307692307692313,52,36,1,0,0.7536867261697578,0.7431982806982806,52,37
0.8,high_low_gap_0_6_0_3,0.0012547195225882707,0.7428571428571429,0.8783783783783784,0.5955056179775281,0.5909090909090909,1.0,0.02702702702702703,0.5135135135135135,0.5163721413721414,high_is_c2,0.42307692307692313,52,36,1,0,0.7578216937662638,0.7479799854799855,52,37
0.8,high_low_gap_0_6_0_2,0.0007822932456351706,0.7428571428571429,0.8783783783783784,0.5955056179775281,0.5909090909090909,1.0,0.02702702702702703,0.5135135135135135,0.510914760914761,high_is_c2,0.42307692307692313,52,36,1,0,0.7578216937662638,0.7500589875589876,52,37
0.8,entropy_normalized,0.0007282639935648539,0.7428571428571429,0.8783783783783784,0.5955056179775281,0.5909090909090909,1.0,0.02702702702702703,0.5135135135135135,0.5298856548856549,low_is_c2,0.8708575864115873,52,36,1,0,0.6697501228732706,0.676134957219949,52,37
0.8,high_low_half_penalty_0_6_0_4,0.00036425025232959194,0.7428571428571429,0.8783783783783784,0.5955056179775281,0.5909090909090909,1.0,0.02702702702702703,0.5135135135135135,0.5018191268191268,high_is_c2,0.5166666666666666,52,36,1,0,0.7855578104022675,0.7809195871695872,52,37
0.8,high_low_half_penalty_0_6_0_3,0.000325170269600754,0.7428571428571429,0.8783783783783784,0.5955056179775281,0.5909090909090909,1.0,0.02702702702702703,0.5135135135135135,0.5036382536382537,high_is_c2,0.5166666666666666,52,36,1,0,0.7876252942005204,0.7833104395604396,52,37
0.8,c0_vs_c2_lda_top_20_score,0.11534278106072644,0.7375886524822695,0.8754208754208754,0.5842696629213483,0.5842696629213483,1.0,0.0,0.5,0.6943866943866944,high_is_c2,-1.124873556880782,52,37,0,0,0.1205741635414134,-0.1694555811933347,52,37
0.8,high_low_half_penalty_0_7_0_5,0.009308449862037983,0.7375886524822695,0.8754208754208754,0.5842696629213483,0.5842696629213483,1.0,0.0,0.5,0.5457380457380457,low_is_c2,0.7857142857142857,52,37,0,0,0.5431255490361825,0.5633130383130384,52,37
0.8,high_low_half_penalty_0_7_0_2,0.008942174116822561,0.7375886524822695,0.8754208754208754,0.5842696629213483,0.5842696629213483,1.0,0.0,0.5,0.5532744282744283,low_is_c2,0.7857142857142857,52,37,0,0,0.5554711973546815,0.574278743028743,52,37
0.8,high_low_half_penalty_0_7_0_3,0.007922360999979745,0.7375886524822695,0.8754208754208754,0.5842696629213483,0.5842696629213483,1.0,0.0,0.5,0.5496361746361746,low_is_c2,0.7857142857142857,52,37,0,0,0.5554711973546815,0.573239241989242,52,37
0.8,high_low_half_penalty_0_7_0_4,0.007284081607495546,0.7375886524822695,0.8754208754208754,0.5842696629213483,0.5842696629213483,1.0,0.0,0.5,0.5524948024948024,low_is_c2,0.7857142857142857,52,37,0,0,0.5534037135564285,0.5708483895983896,52,37
0.8,worst_score,0.004997336019745691,0.7375886524822695,0.8754208754208754,0.5842696629213483,0.5842696629213483,1.0,0.0,0.5,0.5220893970893971,high_is_c2,0.0,52,37,0,0,0.19868461538461538,0.1633972972972973,52,37
