score_key,direction,threshold,f1,f2,precision,recall,accuracy,specificity,balanced_accuracy,tp,fp,tn,fn,n
high_low_gap_0_7_0_4,low_is_c2,0.7375565610859729,0.7499999999999999,0.8732876712328766,0.6071428571428571,0.9807692307692307,0.6179775280898876,0.10810810810810811,0.5444386694386694,51,33,4,1,89
high_low_gap_0_7_0_5,low_is_c2,0.7307692307692308,0.7499999999999999,0.8732876712328766,0.6071428571428571,0.9807692307692307,0.6179775280898876,0.10810810810810811,0.5444386694386694,51,33,4,1,89
high_low_half_penalty_0_7_0_2,low_is_c2,0.7375565610859729,0.7499999999999999,0.8732876712328766,0.6071428571428571,0.9807692307692307,0.6179775280898876,0.10810810810810811,0.5444386694386694,51,33,4,1,89
high_low_half_penalty_0_7_0_3,low_is_c2,0.7375565610859729,0.7499999999999999,0.8732876712328766,0.6071428571428571,0.9807692307692307,0.6179775280898876,0.10810810810810811,0.5444386694386694,51,33,4,1,89
high_low_half_penalty_0_7_0_4,low_is_c2,0.7375565610859729,0.7499999999999999,0.8732876712328766,0.6071428571428571,0.9807692307692307,0.6179775280898876,0.10810810810810811,0.5444386694386694,51,33,4,1,89
high_low_half_penalty_0_7_0_5,low_is_c2,0.7307692307692308,0.7499999999999999,0.8732876712328766,0.6071428571428571,0.9807692307692307,0.6179775280898876,0.10810810810810811,0.5444386694386694,51,33,4,1,89
c0_vs_c2_lda_top_5_score,high_is_c2,-0.4667789117628278,0.7499999999999999,0.8732876712328766,0.6071428571428571,0.9807692307692307,0.6179775280898876,0.10810810810810811,0.5444386694386694,51,33,4,1,89
high_low_gap_0_8_0_4,high_is_c2,0.10989010989010989,0.7482014388489209,0.8813559322033899,0.5977011494252874,1.0,0.6067415730337079,0.05405405405405406,0.527027027027027,52,35,2,0,89
high_low_half_penalty_0_8_0_2,high_is_c2,0.2032967032967033,0.7482014388489209,0.8813559322033899,0.5977011494252874,1.0,0.6067415730337079,0.05405405405405406,0.527027027027027,52,35,2,0,89
high_low_half_penalty_0_8_0_3,high_is_c2,0.2032967032967033,0.7482014388489209,0.8813559322033899,0.5977011494252874,1.0,0.6067415730337079,0.05405405405405406,0.527027027027027,52,35,2,0,89
high_low_half_penalty_0_8_0_4,high_is_c2,0.2032967032967033,0.7482014388489209,0.8813559322033899,0.5977011494252874,1.0,0.6067415730337079,0.05405405405405406,0.527027027027027,52,35,2,0,89
high_low_half_penalty_0_9_0_3,high_is_c2,0.2032967032967033,0.7482014388489209,0.8813559322033899,0.5977011494252874,1.0,0.6067415730337079,0.05405405405405406,0.527027027027027,52,35,2,0,89
c0_vs_c2_lda_top_3_score,high_is_c2,-0.5220374936818675,0.7482014388489209,0.8813559322033899,0.5977011494252874,1.0,0.6067415730337079,0.05405405405405406,0.527027027027027,52,35,2,0,89
low_score_rate_0_2,low_is_c2,0.14835164835164835,0.7445255474452553,0.8703071672354948,0.6,0.9807692307692307,0.6067415730337079,0.08108108108108109,0.5309251559251559,51,34,3,1,89
high_low_gap_0_8_0_2,high_is_c2,0.15192307692307694,0.7445255474452553,0.8703071672354948,0.6,0.9807692307692307,0.6067415730337079,0.08108108108108109,0.5309251559251559,51,34,3,1,89
high_low_gap_0_8_0_3,high_is_c2,0.15192307692307694,0.7445255474452553,0.8703071672354948,0.6,0.9807692307692307,0.6067415730337079,0.08108108108108109,0.5309251559251559,51,34,3,1,89
high_low_half_penalty_0_8_0_5,high_is_c2,0.22252747252747251,0.7445255474452553,0.8703071672354948,0.6,0.9807692307692307,0.6067415730337079,0.08108108108108109,0.5309251559251559,51,34,3,1,89
consistency_score_file_mean,high_is_c2,0.6353510989010989,0.7428571428571429,0.8783783783783784,0.5909090909090909,1.0,0.5955056179775281,0.02702702702702703,0.5135135135135135,52,36,1,0,89
mean_minus_std_score,high_is_c2,0.2896498429065742,0.7428571428571429,0.8783783783783784,0.5909090909090909,1.0,0.5955056179775281,0.02702702702702703,0.5135135135135135,52,36,1,0,89
failure_sensitive_score,high_is_c2,0.4447457692307692,0.7428571428571429,0.8783783783783784,0.5909090909090909,1.0,0.5955056179775281,0.02702702702702703,0.5135135135135135,52,36,1,0,89
low_tail_penalty_score,high_is_c2,0.44853791208791216,0.7428571428571429,0.8783783783783784,0.5909090909090909,1.0,0.5955056179775281,0.02702702702702703,0.5135135135135135,52,36,1,0,89
entropy_normalized,low_is_c2,0.8708575864115873,0.7428571428571429,0.8783783783783784,0.5909090909090909,1.0,0.5955056179775281,0.02702702702702703,0.5135135135135135,52,36,1,0,89
low_score_rate_0_5,low_is_c2,0.22252747252747251,0.7428571428571429,0.8783783783783784,0.5909090909090909,1.0,0.5955056179775281,0.02702702702702703,0.5135135135135135,52,36,1,0,89
high_score_rate_0_8,high_is_c2,0.24285714285714285,0.7428571428571429,0.8783783783783784,0.5909090909090909,1.0,0.5955056179775281,0.02702702702702703,0.5135135135135135,52,36,1,0,89
high_score_rate_0_9,high_is_c2,0.23333333333333334,0.7428571428571429,0.8783783783783784,0.5909090909090909,1.0,0.5955056179775281,0.02702702702702703,0.5135135135135135,52,36,1,0,89
