accuracy,auc_best_direction,balanced_accuracy,c0_mean,c0_n,c1_mean,c1_n,direction,eta2,f1,f2,fn,fp,precision,recall,recall_floor,score_key,specificity,threshold,tn,tp
0.463768115942029,0.6009290540540541,0.5,0.333985083985084,37,0.25968406593406596,32,low_is_c1,0.024439253728892617,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,0.8,high_low_gap_0_7_0_3,0.0,0.8461538461538463,0,32
0.463768115942029,0.5869932432432432,0.5,0.011955086955086952,37,-0.055036630036630035,32,low_is_c1,0.022038780105268514,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,0.8,high_low_gap_0_9_0_5,0.0,0.38461538461538464,0,32
0.463768115942029,0.5992398648648649,0.5,0.23536366036366035,37,0.15661630036630036,32,low_is_c1,0.01939146402232841,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,0.8,high_low_gap_0_7_0_5,0.0,0.8461538461538463,0,32
0.463768115942029,0.6017736486486487,0.5,0.37943891693891696,37,0.32051282051282054,32,low_is_c1,0.01889617790855062,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,0.8,high_low_gap_0_7_0_2,0.0,0.8461538461538463,0,32
0.463768115942029,0.5793918918918919,0.5,0.6447248199618344,37,0.6200663230623207,32,low_is_c1,0.017169117653813386,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,0.8,consistency_score_file_mean,0.0,0.8236708085013364,0,32
0.463768115942029,0.5532094594594594,0.5,0.38022555522555523,37,0.33463827838827837,32,low_is_c1,0.007600364826127258,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,0.8,high_low_gap_0_6_0_4,0.0,0.8461538461538463,0,32
0.463768115942029,0.5523648648648649,0.5,0.5040715853215854,37,0.47012934981684984,32,low_is_c1,0.006707941323820261,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,0.8,high_low_half_penalty_0_6_0_4,0.0,0.8846153846153847,0,32
0.463768115942029,0.5396959459459459,0.5,0.5243864056364056,37,0.49702380952380953,32,low_is_c1,0.004834239436584942,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,0.8,high_low_half_penalty_0_6_0_3,0.0,0.8846153846153847,0,32
0.463768115942029,0.5367398648648649,0.5,0.4208551958551959,37,0.3884271978021978,32,low_is_c1,0.004464915026244532,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,0.8,high_low_gap_0_6_0_3,0.0,0.8461538461538463,0,32
0.463768115942029,0.5481418918918919,0.5,0.4831162333532478,37,0.4637018541978518,32,low_is_c1,0.0032368942422809307,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,0.8,low_tail_penalty_score,0.0,0.7868651677354764,0,32
0.463768115942029,0.5308277027027026,0.5,0.5471133221133221,37,0.5274381868131869,32,low_is_c1,0.0028144683909378685,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,0.8,high_low_half_penalty_0_6_0_2,0.0,0.8846153846153847,0,32
0.463768115942029,0.5380067567567568,0.5,0.46198112050252843,37,0.455178393731765,32,low_is_c1,0.0017481647806319846,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,0.8,failure_sensitive_score,0.0,0.6832188599258885,0,32
0.463768115942029,0.5358952702702703,0.5,0.19220478316473327,37,0.17849864587592146,32,low_is_c1,0.001479383127569009,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,0.8,consistency_score_file_q10,0.0,0.732002304451448,0,32
0.463768115942029,0.53125,0.5,0.3211323009997796,37,0.311662586903495,32,low_is_c1,0.001450355458507262,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,0.8,mean_minus_std_score,0.0,0.6024765883606205,0,32
0.6086956521739131,0.7753378378378378,0.6330236486486487,-0.30258484187944873,37,0.3498637234236705,32,high_is_c1,0.24028981875905164,0.6966292134831461,0.8378378378378377,1,26,0.543859649122807,0.96875,0.9,c0_vs_c1_lda_top_76_score,0.2972972972972973,-0.7334741065151053,11,31
0.5362318840579711,0.7609797297297297,0.5675675675675675,-0.2825621401293694,37,0.32671247452518304,32,high_is_c1,0.21758874876396425,0.6666666666666666,0.8333333333333334,0,32,0.5,1.0,0.9,c0_vs_c1_lda_top_50_score,0.13513513513513514,-0.9835125992961606,5,32
0.5217391304347826,0.558277027027027,0.5540540540540541,0.05944990627192881,37,-0.09573580537747224,32,low_is_c1,0.01718341602530502,0.6597938144329897,0.8290155440414508,0,33,0.49230769230769234,1.0,0.9,c2_repetition_symptom_score,0.10810810810810811,1.0136330838405996,4,32
0.5072463768115942,0.7449324324324325,0.5405405405405406,-0.2244280813653694,37,0.25949496907870806,32,high_is_c1,0.16760958673464138,0.653061224489796,0.8247422680412371,0,34,0.48484848484848486,1.0,0.9,c0_vs_c1_lda_top_30_score,0.08108108108108109,-1.0557693761707934,3,32
0.5072463768115942,0.6372466216216216,0.5405405405405406,-0.08612877194266791,37,0.09958639255870998,32,high_is_c1,0.0581699516296559,0.653061224489796,0.8247422680412371,0,34,0.48484848484848486,1.0,0.9,c0_vs_c1_lda_top_5_score,0.08108108108108109,-0.7579775221478298,3,32
0.5072463768115942,0.6309121621621622,0.5405405405405406,-0.088167674480289,37,0.10194387361783439,32,high_is_c1,0.05625612269654371,0.653061224489796,0.8247422680412371,0,34,0.48484848484848486,1.0,0.9,c0_vs_c1_lda_top_8_score,0.08108108108108109,-0.7790281768801974,3,32
0.5072463768115942,0.6271114864864865,0.5405405405405406,-0.07268239291906242,37,0.08403901681266589,32,high_is_c1,0.053702804917881534,0.653061224489796,0.8247422680412371,0,34,0.48484848484848486,1.0,0.9,c0_vs_c1_lda_top_3_score,0.08108108108108109,-0.580578504179182,3,32
0.4927536231884058,0.6262668918918919,0.527027027027027,0.4263930138930139,37,0.36571657509157507,32,low_is_c1,0.05011682800931245,0.6464646464646464,0.8205128205128204,0,35,0.47761194029850745,1.0,0.9,high_score_rate_0_8,0.05405405405405406,0.6538461538461539,2,32
0.4927536231884058,0.6123310810810811,0.527027027027027,0.3455887205887206,37,0.28753434065934064,32,low_is_c1,0.035593163600250485,0.6464646464646464,0.8205128205128204,0,35,0.47761194029850745,1.0,0.9,high_low_half_penalty_0_8_0_2,0.05405405405405406,0.5961538461538463,2,32
