accuracy,balanced_accuracy,direction,f1,f2,fn,fp,n,precision,recall,score_key,specificity,threshold,tn,tp
0.6086956521739131,0.6245777027027027,low_is_c1,0.6666666666666666,0.7627118644067797,5,22,69,0.5510204081632653,0.84375,high_low_gap_0_7_0_2,0.40540540540540543,0.4285714285714286,15,27
0.6086956521739131,0.6245777027027027,high_is_c1,0.6666666666666666,0.7627118644067797,5,22,69,0.5510204081632653,0.84375,c0_vs_c1_lda_top_5_score,0.40540540540540543,-0.20194821914989514,15,27
0.6086956521739131,0.6245777027027027,high_is_c1,0.6666666666666666,0.7627118644067797,5,22,69,0.5510204081632653,0.84375,c0_vs_c1_lda_top_8_score,0.40540540540540543,-0.22083149025299487,15,27
0.6086956521739131,0.6245777027027027,high_is_c1,0.6666666666666666,0.7627118644067797,5,22,69,0.5510204081632653,0.84375,c0_vs_c1_lda_top_12_score,0.40540540540540543,-0.23127020551338395,15,27
0.5652173913043478,0.5882601351351351,low_is_c1,0.6590909090909092,0.7880434782608696,3,27,69,0.5178571428571429,0.90625,high_low_gap_0_7_0_4,0.2702702702702703,0.4285714285714286,10,29
0.5942028985507246,0.6110641891891893,low_is_c1,0.6585365853658537,0.7584269662921349,5,23,69,0.54,0.84375,high_density_score_0_8,0.3783783783783784,0.3450374576228802,14,27
0.5942028985507246,0.6110641891891893,low_is_c1,0.6585365853658537,0.7584269662921349,5,23,69,0.54,0.84375,high_low_half_penalty_0_9_0_4,0.3783783783783784,0.25,14,27
0.6231884057971014,0.6338682432432432,low_is_c1,0.6578947368421052,0.7267441860465117,7,19,69,0.5681818181818182,0.78125,high_low_half_penalty_0_8_0_3,0.4864864864864865,0.3591269841269841,18,25
0.6376811594202898,0.6452702702702703,low_is_c1,0.6575342465753423,0.7100591715976332,8,17,69,0.5853658536585366,0.75,high_score_rate_0_8,0.5405405405405406,0.4365079365079365,20,24
0.5217391304347826,0.5519425675675675,low_is_c1,0.6526315789473683,0.8115183246073298,1,32,69,0.49206349206349204,0.96875,consistency_score_file_q25,0.13513513513513514,0.6806397737839394,5,31
0.5507246376811594,0.5747466216216216,low_is_c1,0.651685393258427,0.7837837837837839,3,28,69,0.5087719298245614,0.90625,high_low_half_penalty_0_7_0_4,0.24324324324324326,0.5370879120879122,9,29
0.5652173913043478,0.5861486486486487,low_is_c1,0.6511627906976744,0.7692307692307693,4,26,69,0.5185185185185185,0.875,high_low_gap_0_9_0_5,0.2972972972972973,0.15384615384615383,11,28
0.5797101449275363,0.5975506756756757,low_is_c1,0.6506024096385543,0.7541899441340781,5,24,69,0.5294117647058824,0.84375,high_low_half_penalty_0_8_0_5,0.35135135135135137,0.37087912087912084,13,27
0.5942028985507246,0.6089527027027027,low_is_c1,0.65,0.7386363636363635,6,22,69,0.5416666666666666,0.8125,high_low_gap_0_9_0_4,0.40540540540540543,0.14835164835164838,15,26
0.4927536231884058,0.527027027027027,high_is_c1,0.6464646464646464,0.8205128205128204,0,35,69,0.47761194029850745,1.0,low_score_rate_0_5,0.05405405405405406,0.07417582417582418,2,32
0.4927536231884058,0.527027027027027,low_is_c1,0.6464646464646464,0.8205128205128204,0,35,69,0.47761194029850745,1.0,high_low_half_penalty_0_8_0_2,0.05405405405405406,0.5961538461538463,2,32
0.5072463768115942,0.5384290540540541,low_is_c1,0.6458333333333334,0.8072916666666666,1,33,69,0.484375,0.96875,high_low_gap_0_7_0_5,0.10810810810810811,0.5714285714285714,4,31
0.5362318840579711,0.5612331081081081,low_is_c1,0.6444444444444445,0.7795698924731183,3,29,69,0.5,0.90625,consistency_score_file_q10,0.21621621621621623,0.38426721675951225,8,29
0.5362318840579711,0.5612331081081081,low_is_c1,0.6444444444444445,0.7795698924731183,3,29,69,0.5,0.90625,high_low_half_penalty_0_7_0_5,0.21621621621621623,0.5563186813186813,8,29
0.5652173913043478,0.5840371621621622,high_is_c1,0.6428571428571429,0.75,5,25,69,0.5192307692307693,0.84375,entropy_normalized,0.32432432432432434,0.7439173692426478,12,27
0.5652173913043478,0.5840371621621622,low_is_c1,0.6428571428571429,0.75,5,25,69,0.5192307692307693,0.84375,high_score_rate_0_9,0.32432432432432434,0.39230769230769236,12,27
0.5652173913043478,0.5840371621621622,low_is_c1,0.6428571428571429,0.75,5,25,69,0.5192307692307693,0.84375,high_low_half_penalty_0_9_0_3,0.32432432432432434,0.2967032967032967,12,27
0.5797101449275363,0.5954391891891893,low_is_c1,0.6419753086419753,0.7344632768361582,6,23,69,0.5306122448979592,0.8125,high_low_half_penalty_0_8_0_4,0.3783783783783784,0.3846153846153846,14,26
0.5797101449275363,0.5954391891891893,low_is_c1,0.6419753086419753,0.7344632768361582,6,23,69,0.5306122448979592,0.8125,high_low_half_penalty_0_9_0_5,0.3783783783783784,0.24038461538461536,14,26
0.4782608695652174,0.5135135135135135,low_is_c1,0.6399999999999999,0.8163265306122449,0,36,69,0.47058823529411764,1.0,low_score_rate_0_2,0.02702702702702703,0.35384615384615387,1,32
