accuracy,auc_best_direction,balanced_accuracy,c0_mean,c0_n,c1_mean,c1_n,direction,eta2,f1,f2,fn,fp,precision,recall,recall_cap,score_key,specificity,threshold,tn,tp
0.6521739130434783,0.6397804054054054,0.6482263513513513,0.7915897182909476,37,0.8406159579994065,32,high_is_c1,0.0461009857508838,0.6129032258064516,0.6012658227848101,13,11,0.6333333333333333,0.59375,0.6,entropy_normalized,0.7027027027027027,0.855539307240039,26,19
0.6231884057971014,0.6241554054054055,0.6211993243243243,0.7217116004437626,37,0.6754349805866565,32,low_is_c1,0.02936174013833483,0.59375,0.59375,13,13,0.59375,0.59375,0.6,consistency_score_file_median,0.6486486486486487,0.7024905827717949,24,19
0.6086956521739131,0.5996621621621622,0.6076858108108107,0.11057651057651058,37,0.04803113553113553,32,low_is_c1,0.02972107969086324,0.5846153846153846,0.5900621118012422,13,14,0.5757575757575758,0.59375,0.6,high_low_gap_0_9_0_3,0.6216216216216216,0.07417582417582418,23,19
0.6086956521739131,0.6169763513513513,0.6076858108108107,0.46024321024321024,37,0.39869505494505497,32,low_is_c1,0.02834404839020397,0.5846153846153846,0.5900621118012422,13,14,0.5757575757575758,0.59375,0.6,high_low_half_penalty_0_7_0_2,0.6216216216216216,0.4330357142857143,23,19
0.5942028985507246,0.6199324324324325,0.5941722972972974,0.28394486349667025,37,0.23714861784990873,32,low_is_c1,0.04152691156194881,0.5757575757575757,0.5864197530864197,13,15,0.5588235294117647,0.59375,0.6,high_density_score_0_8,0.5945945945945946,0.2572985112612809,22,19
0.5942028985507246,0.613597972972973,0.5941722972972974,0.38820558195558197,37,0.3167467948717949,32,low_is_c1,0.02690241041417596,0.5757575757575757,0.5864197530864197,13,15,0.5588235294117647,0.59375,0.6,high_low_half_penalty_0_7_0_5,0.5945945945945946,0.3708791208791209,22,19
0.5797101449275363,0.6309121621621622,0.5806587837837838,-0.088167674480289,37,0.10194387361783439,32,high_is_c1,0.05625612269654371,0.5671641791044776,0.5828220858895705,13,16,0.5428571428571428,0.59375,0.6,c0_vs_c1_lda_top_8_score,0.5675675675675675,0.059302255057374936,21,19
0.5797101449275363,0.6241554054054054,0.5806587837837838,-0.09024316495732787,37,0.10434365948191038,32,high_is_c1,0.05594934764388553,0.5671641791044776,0.5828220858895705,13,16,0.5428571428571428,0.59375,0.6,c0_vs_c1_lda_top_12_score,0.5675675675675675,0.042984778525349855,21,19
0.5797101449275363,0.5992398648648649,0.5806587837837838,0.23536366036366035,37,0.15661630036630036,32,low_is_c1,0.01939146402232841,0.5671641791044776,0.5828220858895705,13,16,0.5428571428571428,0.59375,0.6,high_low_gap_0_7_0_5,0.5675675675675675,0.23076923076923075,21,19
0.5942028985507246,0.6224662162162162,0.5920608108108107,0.31763893013893013,37,0.265224358974359,32,low_is_c1,0.04796244943033696,0.5625,0.5625,14,14,0.5625,0.5625,0.6,high_score_rate_0_9,0.6216216216216216,0.2403846153846154,23,18
0.5942028985507246,0.6076858108108107,0.5920608108108107,0.3228618041118041,37,0.25711996336996334,32,low_is_c1,0.03972658078852841,0.5625,0.5625,14,14,0.5625,0.5625,0.6,high_low_half_penalty_0_8_0_3,0.6216216216216216,0.2884615384615385,23,18
0.5942028985507246,0.620777027027027,0.5920608108108107,0.41720147345147346,37,0.341386217948718,32,low_is_c1,0.034203031091087535,0.5625,0.5625,14,14,0.5625,0.5625,0.6,high_low_half_penalty_0_7_0_4,0.6216216216216216,0.3887362637362637,23,18
0.5942028985507246,0.597972972972973,0.5920608108108107,0.16479700854700854,37,0.10509386446886447,32,low_is_c1,0.032358000629513876,0.5625,0.5625,14,14,0.5625,0.5625,0.6,high_low_half_penalty_0_9_0_5,0.6216216216216216,0.11126373626373626,23,18
0.5942028985507246,0.5793918918918919,0.5920608108108107,0.6447248199618344,37,0.6200663230623207,32,low_is_c1,0.017169117653813386,0.5625,0.5625,14,14,0.5625,0.5625,0.6,consistency_score_file_mean,0.6216216216216216,0.6406500567245399,23,18
0.5652173913043478,0.6372466216216216,0.5671452702702703,-0.08612877194266791,37,0.09958639255870998,32,high_is_c1,0.0581699516296559,0.5588235294117648,0.5792682926829268,13,17,0.5277777777777778,0.59375,0.6,c0_vs_c1_lda_top_5_score,0.5405405405405406,0.06277124546478591,20,19
0.5652173913043478,0.6161317567567568,0.5671452702702703,0.19379290004290003,37,0.12973328754578756,32,low_is_c1,0.043284632919826066,0.5588235294117648,0.5792682926829268,13,17,0.5277777777777778,0.59375,0.6,high_low_half_penalty_0_9_0_4,0.5405405405405406,0.14835164835164835,20,19
0.5652173913043478,0.6081081081081081,0.5671452702702703,0.06994686994686994,37,-0.005757783882783884,32,low_is_c1,0.03596076232266167,0.5588235294117648,0.5792682926829268,13,17,0.5277777777777778,0.59375,0.6,high_low_gap_0_9_0_4,0.5405405405405406,0.0357142857142857,20,19
0.5652173913043478,0.6013513513513513,0.5671452702702703,0.2735510923010923,37,0.20558608058608058,32,low_is_c1,0.0328701876532709,0.5588235294117648,0.5792682926829268,13,17,0.5277777777777778,0.59375,0.6,high_low_half_penalty_0_8_0_5,0.5405405405405406,0.25,20,19
0.5652173913043478,0.5907939189189189,0.5671452702702703,0.1207091707091707,37,0.04545558608058608,32,low_is_c1,0.022816646476118994,0.5588235294117648,0.5792682926829268,13,17,0.5277777777777778,0.59375,0.6,high_low_gap_0_8_0_5,0.5405405405405406,0.14285714285714285,20,19
0.6086956521739131,0.6271114864864865,0.6034628378378378,-0.07268239291906242,37,0.08403901681266589,32,high_is_c1,0.053702804917881534,0.5573770491803278,0.5414012738853503,15,12,0.5862068965517241,0.53125,0.6,c0_vs_c1_lda_top_3_score,0.6756756756756757,0.06249014639911947,25,17
