threshold,tp,fp,tn,fn,precision,recall,specificity,f1,f2,accuracy,balanced_accuracy,youden_j
0.30296387508724715,16,6,31,16,0.7272727272727273,0.5,0.8378378378378378,0.5925925925925926,0.5333333333333333,0.6811594202898551,0.6689189189189189,0.3378378378378377
0.3459625546356184,16,5,32,16,0.7619047619047619,0.5,0.8648648648648649,0.6037735849056604,0.5369127516778524,0.6956521739130435,0.6824324324324325,0.3648648648648649
0.3868716815182994,16,4,33,16,0.8,0.5,0.8918918918918919,0.6153846153846154,0.5405405405405405,0.7101449275362319,0.6959459459459459,0.3918918918918919
0.4032233203558692,16,3,34,16,0.8421052631578947,0.5,0.918918918918919,0.6274509803921569,0.54421768707483,0.7246376811594203,0.7094594594594594,0.41891891891891886
0.4192503458838439,15,3,34,17,0.8333333333333334,0.46875,0.918918918918919,0.6,0.5136986301369864,0.7101449275362319,0.6938344594594594,0.38766891891891886
0.4311429460991849,15,2,35,17,0.8823529411764706,0.46875,0.9459459459459459,0.6122448979591837,0.517241379310345,0.7246376811594203,0.707347972972973,0.41469594594594605
0.4668522398717748,15,1,36,17,0.9375,0.46875,0.972972972972973,0.625,0.5208333333333334,0.7391304347826086,0.7208614864864865,0.441722972972973
0.5265517887787377,14,1,36,18,0.9333333333333333,0.4375,0.972972972972973,0.5957446808510638,0.4895104895104896,0.7246376811594203,0.7052364864864865,0.410472972972973
0.558269928256659,13,1,36,19,0.9285714285714286,0.40625,0.972972972972973,0.5652173913043478,0.45774647887323944,0.7101449275362319,0.6896114864864865,0.379222972972973
0.5695776087029751,13,0,37,19,1.0,0.40625,1.0,0.5777777777777777,0.46099290780141844,0.7246376811594203,0.703125,0.40625
0.608222371776477,12,0,37,20,1.0,0.375,1.0,0.5454545454545454,0.42857142857142855,0.7101449275362319,0.6875,0.375
0.6667101418383035,11,0,37,21,1.0,0.34375,1.0,0.5116279069767442,0.39568345323741005,0.6956521739130435,0.671875,0.34375
0.6997356289633903,10,0,37,22,1.0,0.3125,1.0,0.47619047619047616,0.36231884057971014,0.6811594202898551,0.65625,0.3125
0.7447512675092611,9,0,37,23,1.0,0.28125,1.0,0.43902439024390244,0.3284671532846715,0.6666666666666666,0.640625,0.28125
0.7861101027710372,8,0,37,24,1.0,0.25,1.0,0.4,0.29411764705882354,0.6521739130434783,0.625,0.25
0.7870481007597944,7,0,37,25,1.0,0.21875,1.0,0.358974358974359,0.25925925925925924,0.6376811594202898,0.609375,0.21875
0.8701792508450974,6,0,37,26,1.0,0.1875,1.0,0.3157894736842105,0.22388059701492538,0.6231884057971014,0.59375,0.1875
0.9584936571057981,5,0,37,27,1.0,0.15625,1.0,0.2702702702702703,0.18796992481203006,0.6086956521739131,0.578125,0.15625
0.9758851724894892,4,0,37,28,1.0,0.125,1.0,0.2222222222222222,0.15151515151515152,0.5942028985507246,0.5625,0.125
1.1379708263434998,3,0,37,29,1.0,0.09375,1.0,0.17142857142857143,0.11450381679389313,0.5797101449275363,0.546875,0.09375
1.3776081480146507,2,0,37,30,1.0,0.0625,1.0,0.11764705882352941,0.07692307692307693,0.5652173913043478,0.53125,0.0625
1.5658468946413513,1,0,37,31,1.0,0.03125,1.0,0.06060606060606061,0.03875968992248062,0.5507246376811594,0.515625,0.03125
1.6649390863737723,1,0,37,31,1.0,0.03125,1.0,0.06060606060606061,0.03875968992248062,0.5507246376811594,0.515625,0.03125
