accuracy,auc_best_direction,balanced_accuracy,c0_mean,c0_n,c1_mean,c1_n,direction,eta2,f1,f2,fn,fp,precision,recall,score_key,specificity,threshold,tn,tp
0.4782608695652174,0.5050675675675675,0.5135135135135135,0.16160858660858662,37,0.15636446886446886,32,low_is_c1,0.0008140403731289692,0.6399999999999999,0.8163265306122449,0,36,0.47058823529411764,1.0,low_score_rate_0_2,0.02702702702702703,0.35384615384615387,1,32
0.5362318840579711,0.5793918918918919,0.5591216216216216,0.6447248199618344,37,0.6200663230623207,32,low_is_c1,0.017169117653813386,0.6363636363636364,0.7608695652173914,4,28,0.5,0.875,consistency_score_file_mean,0.24324324324324326,0.7041360160066574,9,28
0.463768115942029,0.5570101351351351,0.5,0.035579155097481205,37,0.07043989196046847,32,high_is_c1,0.036465813584835596,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,worst_score,0.0,0.0,0,32
0.463768115942029,0.5996621621621622,0.5,0.11057651057651058,37,0.04803113553113553,32,low_is_c1,0.02972107969086324,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,high_low_gap_0_9_0_3,0.0,0.42857142857142855,0,32
0.463768115942029,0.5532094594594594,0.5,0.38022555522555523,37,0.33463827838827837,32,low_is_c1,0.007600364826127258,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,high_low_gap_0_6_0_4,0.0,0.8461538461538463,0,32
0.463768115942029,0.5523648648648649,0.5,0.5040715853215854,37,0.47012934981684984,32,low_is_c1,0.006707941323820261,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,high_low_half_penalty_0_6_0_4,0.0,0.8846153846153847,0,32
0.463768115942029,0.5396959459459459,0.5,0.5243864056364056,37,0.49702380952380953,32,low_is_c1,0.004834239436584942,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,high_low_half_penalty_0_6_0_3,0.0,0.8846153846153847,0,32
0.463768115942029,0.5367398648648649,0.5,0.4208551958551959,37,0.3884271978021978,32,low_is_c1,0.004464915026244532,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,high_low_gap_0_6_0_3,0.0,0.8461538461538463,0,32
0.463768115942029,0.5481418918918919,0.5,0.4831162333532478,37,0.4637018541978518,32,low_is_c1,0.0032368942422809307,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,low_tail_penalty_score,0.0,0.7868651677354764,0,32
0.463768115942029,0.5308277027027026,0.5,0.5471133221133221,37,0.5274381868131869,32,low_is_c1,0.0028144683909378685,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,high_low_half_penalty_0_6_0_2,0.0,0.8846153846153847,0,32
0.463768115942029,0.5380067567567568,0.5,0.46198112050252843,37,0.455178393731765,32,low_is_c1,0.0017481647806319846,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,failure_sensitive_score,0.0,0.6832188599258885,0,32
0.463768115942029,0.53125,0.5,0.3211323009997796,37,0.311662586903495,32,low_is_c1,0.001450355458507262,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,mean_minus_std_score,0.0,0.6024765883606205,0,32
