accuracy,auc_best_direction,direction,eta_squared,f1,positive_mean,positive_n,positive_raw_labels,precision,recall,rest_mean,rest_n,score_key,score_title,target_label,threshold,threshold_rule
0.31896551724137934,0.5184151785714286,high_is_target,0.0014106328233830473,0.43971631205673756,0.4637018541978518,32,1.1,0.28440366972477066,0.96875,0.44865756198871737,84,low_tail_penalty_score,Mean Minus Low Tail,c1,0.17049663367485468,low_tail_penalty_score >= 0.170497
0.31896551724137934,0.5180431547619048,low_is_target,0.000707047335911135,0.43971631205673756,0.23714861784990873,32,1.1,0.28440366972477066,0.96875,0.24419730850465865,84,high_density_score_0_8,Mean Times High Rate >=0.8,c1,0.42414208176659396,high_density_score_0_8 <= 0.424142
0.31896551724137934,0.5109747023809523,high_is_target,0.0010744440402329638,0.43971631205673756,0.4492559523809524,32,1.1,0.28440366972477066,0.96875,0.43213795133437993,84,high_low_gap_0_6_0_2,High >= 0.6 Minus Low < 0.2,c1,0.07142857142857142,high_low_gap_0_6_0_2 >= 0.0714286
0.3620689655172414,0.5284598214285714,low_is_target,0.00034645229239204555,0.4393939393939394,0.6754349805866565,32,1.1,0.29,0.90625,0.6811264128610496,84,consistency_score_file_median,Median Turn Score,c1,0.841392715290626,consistency_score_file_median <= 0.841393
0.4051724137931034,0.5120907738095238,low_is_target,0.0001529775385164202,0.43902439024390244,0.32051282051282054,32,1.1,0.2967032967032967,0.84375,0.3141161913483342,84,high_low_gap_0_7_0_2,High >= 0.7 Minus Low < 0.2,c1,0.4285714285714286,high_low_gap_0_7_0_2 <= 0.428571
0.29310344827586204,0.5213913690476191,low_is_target,0.0006241434577253733,0.4383561643835616,0.36571657509157507,32,1.1,0.2807017543859649,1.0,0.3736785205535206,84,high_score_rate_0_8,High Rate >=0.8,c1,0.6538461538461539,high_score_rate_0_8 <= 0.653846
0.29310344827586204,0.5059523809523809,low_is_target,5.756924309349502e-06,0.4383561643835616,0.28753434065934064,32,1.1,0.2807017543859649,1.0,0.2884044857259143,84,high_low_half_penalty_0_8_0_2,High >= 0.8 Minus 0.5 Low < 0.2,c1,0.5961538461538463,high_low_half_penalty_0_8_0_2 <= 0.596154
0.3793103448275862,0.5106026785714286,low_is_target,1.3799475626189847e-05,0.43750000000000006,0.6200663230623207,32,1.1,0.2916666666666667,0.875,0.6192056316439298,84,consistency_score_file_mean,Mean Turn Score,c1,0.7041360160066574,consistency_score_file_mean <= 0.704136
0.3793103448275862,0.5035342261904762,high_is_target,0.00021193555270789669,0.43750000000000006,0.20935210622710623,32,1.1,0.2916666666666667,0.875,0.20313045089830803,84,high_low_gap_0_8_0_2,High >= 0.8 Minus Low < 0.2,c1,0.033333333333333326,high_low_gap_0_8_0_2 >= 0.0333333
0.4224137931034483,0.5120907738095238,low_is_target,0.0002932251808398612,0.4369747899159664,0.10509386446886447,32,1.1,0.2988505747126437,0.8125,0.11194682467003896,84,high_low_half_penalty_0_9_0_5,High >= 0.9 Minus 0.5 Low < 0.5,c1,0.24038461538461536,high_low_half_penalty_0_9_0_5 <= 0.240385
0.3103448275862069,0.5535714285714286,high_is_target,0.009496847450471057,0.4366197183098592,0.07043989196046847,32,1.1,0.2818181818181818,0.96875,0.04884174779457459,84,worst_score,Worst Turn Score,c1,3.7568778422903955e-09,worst_score >= 3.75688e-09
0.3103448275862069,0.5145089285714286,low_is_target,0.0001151752314218669,0.4366197183098592,0.25711996336996334,32,1.1,0.2818181818181818,0.96875,0.2614066406477121,84,high_low_half_penalty_0_8_0_3,High >= 0.8 Minus 0.5 Low < 0.3,c1,0.5166666666666666,high_low_half_penalty_0_8_0_3 <= 0.516667
